# Doslovny prepis PDF "Priority Ideas" (Mark Gomes), verze z 24. 8. 2026.
# Zdroj nese v hlavicce "For the exclusive use of Mark Gomes" -- nepublikovat ven.
#
# Prepis nemeni zadnou hodnotu. Jedine, co se deje: ze cen se odstranuje "$",
# z procent "%", a data se prevadeji na ISO. Poznamky, "N/A", "#N/A" i preklepy
# jsou doslovne. Prazdne pole = v listu bylo prazdno.
#
# row_id je poradi v PDF, stabilni navzdy, nikdy se nepouzije znovu.
# Radky NEJSOU serazene podle data -- row 156 sedi mimo poradi uz v PDF.
# peak_return_live_pct je text, ne cislo, a je prokazatelne zkazeny splity.
row_id,company,ticker,initial_interest,pause_interest,days,inclination,status,initial_price,final_price,final_change_pct,final_net_change_pct,peak_return_live_pct,latest_notes,footnote
31,"Dorman",DORM,2014-09-04,2015-09-11,372,Short,CLOSED,44.26,50.14,13,-13,21,"",
32,"Farmer Brothers Stock",FARM,2014-09-11,2016-09-26,747,Short,CLOSED,23.30,36.27,56,-56,-96,"",
33,"VocalTec",CALL,2014-09-11,2015-06-22,284,Short,CLOSED,11.62,7.93,-32,32,N/A,"",
34,"Barnes & Noble",BKS,2014-09-11,2016-04-25,593,Short,CLOSED,15.49,12.13,-22,22,N/A,"",
35,"Zagg",ZAGG,2014-09-11,2016-05-18,616,Short,CLOSED,5.49,5.35,-3,3,N/A,"",
36,"Solarwinds",SWI,2014-09-11,2016-04-25,593,Long,CLOSED,44.10,59.98,36,36,-70,"",
37,"Redknee",RKNEF,2014-09-25,2017-03-06,893,Long,CLOSED,3.39,0.75,-78,-78,N/A,"",
38,"QlikTech",QLIK,2014-09-30,2015-06-22,265,Long,CLOSED,27.42,37.09,35,35,N/A,"",
39,"IBM",IBM,2014-11-06,2015-06-22,228,Short,CLOSED,161.25,166.99,4,-4,4,"",
40,"The ONE Group",STKS,2014-11-20,2015-06-22,214,Long,CLOSED,4.90,4.00,-18,-18,3,"",
41,"Varonis",VRNS,2014-12-18,2016-04-25,495,Long,CLOSED,27.56,19.49,-29,-29,-53,"",
42,"TiVo",TIVO,2014-12-26,2016-04-25,487,Long,CLOSED,12.10,9.26,-23,-23,N/A,"",
43,"VMWare",VMW,2015-01-08,2015-10-16,281,Short,CLOSED,79.80,68.33,-14,14,N/A,"",
44,"Hubspot",HUBS,2015-02-10,2015-02-12,2,Long,CLOSED,34.76,37.27,7,7,12,"",
45,"Marketo",MKTO,2015-02-10,2015-02-12,2,Short,CLOSED,35.38,28.86,-18,18,N/A,"",
46,"Overstock",OSTK,2015-02-12,2016-04-25,439,Short,CLOSED,22.45,15.24,-32,32,N/A,"",
47,"Dunkin Donuts",DNKN,2015-02-26,2015-06-22,116,Short,CLOSED,47.26,53.47,13,-13,N/A,"",
48,"B&G Foods",BGS,2015-03-05,2015-06-22,109,Short,CLOSED,28.28,29.74,5,-5,16,"",
49,"Digimarc",DMRC,2015-03-19,2016-04-25,404,Long,CLOSED,22.39,28.44,27,27,120,"",
50,"Red Hat",RHT,2015-03-25,2016-04-25,398,Long,CLOSED,68.45,74.47,9,9,-100,"",
51,"Salesforce.com",CRM,2015-04-30,2016-04-25,362,Long,CLOSED,72.82,76.51,5,5,14,"",
52,"Oracle",ORCL,2015-04-30,2016-04-25,362,Short,CLOSED,43.62,40.78,-7,7,4,"",
53,"Radisys",RSYS,2015-05-06,2016-04-25,356,Long,CLOSED,2.29,4.49,96,96,N/A,"",
54,"Cal-Maine Foods",CALM,2015-05-14,2016-04-25,348,Long,CLOSED,54.78,49.82,-9,-9,15,"",
55,"Perfumania",PERF,2015-05-21,2016-04-25,341,Short,CLOSED,5.37,2.89,-46,46,N/A,"",
56,"GLD Sept 110 Calls",GLD,2015-06-02,2015-09-18,108,Short,CLOSED,6.10,0.00,-100,100,1795,"",
57,"Facebook",FB,2015-06-23,2015-07-30,38,Long,CLOSED,87.07,94.07,8,8,N/A,"",
58,"22nd Century Group",XXII,2015-07-16,2016-08-29,410,Long,CLOSED,0.80,1.03,29,29,N/A,"",
59,"New Relic",NEWR,2015-07-16,2015-08-12,27,Long,CLOSED,36.32,35.43,-2,-2,N/A,"",
60,"Hubspot",HUBS,2015-07-23,2016-04-25,278,Long,CLOSED,52.67,44.37,-16,-16,14,"",
61,"Radcom",RDCM,2015-08-14,2017-10-11,789,Long,CLOSED,10.31,21.85,112,112,118,"",
62,"Fitbit",FIT,2015-09-03,2016-04-25,236,Long,CLOSED,32.68,12.30,-62,-62,N/A,"",
63,"EMC",EMC,2015-10-15,2016-04-25,194,Long,CLOSED,27.75,26.50,-5,-5,N/A,"",
64,"Aerohive Networks",HIVE,2016-01-08,2016-10-04,271,Long,CLOSED,4.60,7.17,56,56,-98,"",
65,"IBM",IBM,2016-04-18,2016-04-19,1,Short,CLOSED,152.38,146.25,-4,4,-4,"",
66,"Mellanox",MLNX,2016-04-28,2016-06-24,58,Long,CLOSED,44.83,47.39,6,6,N/A,"",
67,"PROS Holdings",PRO,2016-04-28,2016-08-01,95,Long,CLOSED,11.87,18.92,59,59,584,"",
68,"Short S&P ETF ***",SH,2016-04-28,2017-10-11,531,Long,CLOSED,40.44,31.68,-22,-22,314,"",
69,"Short Russell 2000 ETF ***",RWM,2016-04-28,2017-10-11,531,Long,CLOSED,60.32,43.26,-28,-28,5,"",
70,"Biotech ETF",XBI,2016-04-28,2017-10-11,531,Short,CLOSED,55.16,87.37,58,-58,61,"",
71,"Terena Intl",TEDU,2016-04-28,2017-05-12,379,Short,CLOSED,11.24,19.72,75,-75,N/A,"",
72,"Cisco",CSCO,2016-04-28,2016-06-24,58,Short,CLOSED,27.96,27.75,-1,1,5,"",
73,"Foot Locker",FL,2016-04-28,2016-06-24,58,Short,CLOSED,61.47,53.11,-14,14,-99,"",
74,"Apogee",APOG,2016-04-28,2017-10-11,531,Short,CLOSED,42.34,48.57,15,-15,44,"",
75,"Vipshop",VIPS,2016-04-28,2017-05-12,379,Short,CLOSED,13.74,14.86,8,-8,27,"",
76,"Middleby Company",MIDD,2016-04-28,2017-10-11,531,Short,CLOSED,109.98,123.55,12,-12,10,"",
77,"Brocade",BRCD,2016-04-28,2017-05-12,379,Short,CLOSED,9.86,12.66,28,-28,N/A,"",
78,"Medallion Financial",MFIN,2016-04-28,2017-02-09,287,Short,CLOSED,7.53,1.77,-76,76,9,"",
79,"NXP Semiconductors",NXPI,2016-04-28,2017-05-12,379,Short,CLOSED,85.87,106.76,24,-24,25,"",
80,"Amplify Brands",BETR,2016-04-28,2017-03-06,312,Short,CLOSED,15.36,9.19,-40,40,N/A,"",
81,"Post Holdings",POST,2016-04-28,2017-09-20,510,Short,CLOSED,71.05,87.33,23,-23,-18,"",
82,"Goodyear Tire",GT,2016-04-28,2016-06-24,58,Short,CLOSED,29.89,25.57,-14,14,3,"",
83,"Shopify",SHOP,2016-04-28,2017-02-09,287,Short,CLOSED,31.75,54.61,72,-72,-83,"",
84,"Gigamon",GIMO,2016-04-28,2016-05-18,21,Short,CLOSED,29.87,29.40,-2,2,N/A,"",
85,"Mellanox",MLNX,2016-08-12,2017-03-03,203,Long,CLOSED,41.78,47.95,15,15,N/A,"",
86,"Marin Software",MRIN,2016-12-29,2017-09-19,264,Long,CLOSED,2.33,1.65,-29,-29,22394,"",
87,"Angie's List",ANGI,2016-12-29,2017-03-03,64,Short,CLOSED,8.17,5.45,-33,33,944,"Couldn't survive alone, but M&A became a risk.",
88,"Radisys",RSYS,2017-01-05,2017-10-26,294,Long,CLOSED,4.53,1.32,-71,-71,N/A,"10/26: May succumb to a weak Q and tax-loss selling. [1]",[1]
89,"Globalstar Jul 1.50 puts",GSAT,2017-01-06,2017-07-21,196,Write,CLOSED,0.30,0.00,-100,100,12850,"",
90,"Cal-Maine Foods",CALM,2017-02-10,2017-04-03,52,Long,CLOSED,39.74,36.35,-9,-9,1,"LOVE this company. Will reinitiate interest... at some point",
91,"Marina Biotech",MRNA,2017-02-10,2017-03-03,21,Long,CLOSED,0.20,0.25,25,25,N/A,"Quick move, so no longer interested.",
92,"Marin Software",MRIN,2017-03-03,2019-04-01,759,Long,CLOSED,10.85,4.59,-58,-58,5448,"Closing repetitive position on recent rebound.",
93,"Hudson Technologies",HDSN,2017-03-03,2017-08-09,159,Long,CLOSED,7.09,8.00,13,13,33,"R-22 reclamation opportunity not panning out quickly enough",
94,"Hudson Technologies (#2)",HDSN,2017-03-21,2017-07-26,127,Long,CLOSED,6.14,8.36,36,36,54,"Double bookmark was justified, but now closing it out.",
95,"Aerohive Networks",HIVE,2017-05-18,2017-09-29,134,Long,CLOSED,4.40,4.15,-6,-6,109,"Lower conviction. Clearing it out.",
96,"New Age Beverages",NBEV,2017-05-18,2017-05-22,4,Long,CLOSED,4.38,5.91,35,35,N/A,"Good story, but follow-up research said ""it's half baked""",
97,"Pixelworks",PXLW,2017-05-18,2017-05-24,6,Short,CLOSED,5.87,4.91,-16,16,1131,"Investigate as a short-term play after an unjustified run / acquisiton",
98,"Mattersight",MATR,2017-05-22,2017-09-19,120,Long,CLOSED,2.65,2.75,4,4,1135,"Product is real, but management has been awful",
99,"Silver Spring Networks",SSNI,2017-05-22,2018-01-02,225,Long,CLOSED,10.06,16.25,62,62,N/A,"Acquired :^)",
100,"USA Technologies",USAT,2017-06-27,2017-09-19,84,Long,CLOSED,5.15,5.43,5,5,N/A,"Closing the double bookmark",
101,"Radisys",RSYS,2017-08-02,2017-08-09,7,Long,CLOSED,1.81,1.59,-12,-12,N/A,"Closing the double bookmark",
102,"USA Technologies",USAT,2017-08-09,2017-09-29,51,Long,CLOSED,5.30,6.28,18,18,N/A,"Switching interest from USAT to USATP.",
103,"Radcom",RDCM,2017-08-09,2020-04-30,995,Long,CLOSED,19.65,7.05,-64,-64,14,"Oct 10 -- Buy rated @ Blair https://tinyurl.com/BlairRDCM / Closed 6PM",
104,"Hudson Technologies [2]",HDSN,2017-08-10,2017-09-21,42,Long,CLOSED,10.23,9.15,-11,-11,2,"Lost interest after seeing a strong run & a credible short article",[2]
105,"Vuzix",VUZI,2017-08-15,2017-09-13,29,Long,CLOSED,6.10,6.14,1,1,7,"Unresponsive partners & shaky execution. I wish them luck.",
106,"Helios & Matheson",HMNY,2017-09-18,2017-09-19,1,Long,CLOSED,3.44,4.11,19,19,N/A,"Closing the double bookmark",
107,"Helios & Matheson",HMNY,2017-09-18,2017-10-11,23,Long,CLOSED,3.45,34.32,895,895,N/A,"Crazy. Removed from interest list. Reassess on pullback.",
108,"PULSE BIOSCIENCES",PLSE,2017-09-29,2017-10-27,28,Short,CLOSED,18.57,24.06,30,-30,35,"Was inclined to be negative, but couldn't get expert validation.",
109,"Aehr Test Systems",AEHR,2017-09-29,2021-08-17,1418,Long,CLOSED,3.95,5.30,34,34,118,"Opened a new AEHR position in July 2021 !!",
110,"Tactile Systems",TCMD,2017-09-29,2017-11-01,33,Short,CLOSED,31.34,27.12,-13,13,8,"More downside possible, but fell a lot quickly. Revist on a bounce. [3]",[3]
111,"Smith Micro",SMSI,2017-10-04,2017-10-11,7,Long,CLOSED,1.25,1.61,29,29,N/A,"https://tinyurl.com/2017Q2SMSI - PAUSED to focus on AEHR [4]",[4]
112,"Aehr Test Systems #2",AEHR,2017-10-06,2018-11-21,411,Long,CLOSED,3.68,1.97,-46,-46,7,"12/1/17: AEHR @ investor conf next week; We'll meet after.",
113,"22ND Century Group",XXII,2017-10-09,2018-05-09,212,Long,CLOSED,2.87,2.48,-14,-14,N/A,"10/16: Chardan $11.50 Target / 10/17: CVI Investments buys 6%",
114,"Helios & Matheson",HMNY,2017-10-12,2017-10-19,7,Long,CLOSED,22.60,15.84,-30,-30,N/A,"Studios are a legit opportunity, but need to assess the valuation.",
115,"Helios & Matheson",HMNY,2017-11-06,2017-11-13,7,Long,CLOSED,11.35,12.87,13,13,N/A,"Still very interested. Just closing this entry. Leaving the original.",
116,"GAIA",GAIA,2017-11-07,2019-11-05,728,Long,CLOSED,12.55,9.03,-28,-28,81,"Out (messaged on StockTwits) @ 12:23PM",
117,"Smith Micro",SMSI,2017-11-08,2020-02-08,822,Long,CLOSED,1.74,6.18,255,255,N/A,"Only closed because I already have two additional SMSI positions open",
118,"Helios & Matheson (Short)",HMNY,2017-12-12,2018-05-09,148,Short,CLOSED,11.68,0.96,-92,92,N/A,"Studios are a legit opportunity, but need to assess the valuation.",
119,"Smith Micro",SMSI,2018-01-12,2020-02-08,757,Long,CLOSED,2.56,6.18,141,141,N/A,"Click link for my write-up / thoughts [5]",[5]
120,"Smith Micro",SMSI,2018-03-05,2019-03-27,387,Long,CLOSED,1.60,2.76,73,73,N/A,"Buying SMSI Report",
121,"Helios & Matheson (Short)",HMNY,2018-05-21,2018-07-24,64,Short,CLOSED,0.65,0.10,-85,85,N/A,"Reshorting HMNY Report",
122,"Turtle Beach (Write Jan Puts) [6]",HEAR,2018-06-12,2018-09-25,105,Long,CLOSED,4.00,2.28,-43,43,N/A,"My Top 7 Holdings... Including a NEW Pick!",[6][7]
123,"TechPrecision",TPCS,2018-08-13,2020-03-11,576,Long,CLOSED,0.76,1.27,67,67,N/A,"",
124,"Marin Software",MRIN,2018-12-28,2019-11-13,320,Long,CLOSED,6.22,1.81,-71,-71,N/A,"",
125,"USA Technologies",USAT,2019-02-07,2019-05-21,103,Long,CLOSED,3.50,6.52,86,86,N/A,"",
126,"Arcadia Bio",RKDA,2019-03-04,2019-03-27,23,Short,CLOSED,7.60,6.94,-9,9,N/A,"",
127,"Kroger",KR,2019-03-04,2019-07-11,129,Short,CLOSED,28.61,21.74,-24,24,2,"",
128,"China Internet",CIFS,2019-03-04,2019-03-27,23,Short,CLOSED,4.50,2.79,-38,38,N/A,"",
129,"Kandi Tech",KNDI,2019-03-04,2019-03-27,23,Short,CLOSED,7.98,5.52,-31,31,6,"",
130,"Arcimoto",FUV,2019-03-04,2019-06-06,94,Short,CLOSED,4.56,2.81,-38,38,#N/A,"",
131,"Boxlight",BOXL,2019-03-04,2019-04-01,28,Short,CLOSED,2.69,3.00,12,-12,N/A,"",
132,"Biopath",BPTH,2019-03-06,2019-04-08,33,Short,CLOSED,13.59,16.55,22,-22,N/A,"",
133,"USAT Sept 2.5 Puts",USAT,2019-03-06,2019-09-20,198,Short (Bullish),CLOSED,0.40,0.00,-100,100,N/A,"Expired worthless. 100% profit!",
134,"New Age Beverages",NBEV,2019-03-06,2019-09-23,201,Short,CLOSED,5.42,2.77,-49,49,N/A,"",
135,"Biopath #2",BPTH,2019-03-07,2019-03-27,20,Short,CLOSED,55.56,19.23,-65,65,N/A,"",
136,"GAIA #2",GAIA,2019-03-07,2019-11-05,243,Long,CLOSED,8.79,9.03,3,3,25,"",
137,"Electrameccannica (FUV hedge)",SOLO,2019-04-01,2019-05-02,31,Long,CLOSED,3.69,3.14,-15,-15,N/A,"",
138,"Ata Inc.",ATAI,2019-04-10,2019-04-11,1,Short,CLOSED,3.93,3.00,-24,24,N/A,"",
139,"Solitron",SOLY,2019-05-29,2019-06-17,19,Short,CLOSED,21.22,16.70,-21,21,N/A,"",
140,"Beyond Meat",BYND,2019-05-29,2019-10-29,153,Short,CLOSED,127.50,85.32,-33,33,5540,"",
141,"HyreCar",HYRE,2019-07-19,2019-08-21,33,Long,CLOSED,3.05,3.75,23,23,N/A,"",
142,"Zynex",ZYXI,2019-09-12,2020-03-11,181,Long,CLOSED,8.56,11.18,31,31,N/A,"",
143,"Smith Micro",SMSI,2019-09-16,2020-03-11,177,Long,CLOSED,5.28,5.34,1,1,N/A,"",
144,"USA Technologies",USAT,2019-09-23,2019-09-25,2,Long,CLOSED,4.45,5.10,15,15,N/A,"",
145,"New Age Beverages",NBEV,2019-09-24,2019-10-03,9,Short,CLOSED,3.28,2.71,-17,17,N/A,"",
146,"Carrol's Restaurant Group",TAST,2019-10-03,2020-01-13,102,Long,CLOSED,7.23,6.41,-11,-11,N/A,"",
147,"Synthesis Energy Systems",SES,2019-10-15,2019-12-14,60,Short,CLOSED,17.42,6.54,-62,62,N/A,"",
148,"TechPrecision",TPCS,2019-10-15,2020-11-12,394,Long,CLOSED,1.42,1.38,-3,-3,393,"",
149,"Zynex",ZYXI,2019-10-22,2020-03-11,141,Long,CLOSED,9.42,11.10,18,18,N/A,"",
150,"Bionano Genomics",BNGO,2019-10-22,2019-12-14,53,Short,CLOSED,1.14,0.81,-29,29,N/A,"",
151,"Zynex",ZYXI,2019-10-30,2020-05-08,191,Long,CLOSED,8.45,19.38,129,129,N/A,"",
152,"Smith Micro",SMSI,2019-10-31,2020-03-11,132,Long,CLOSED,4.86,5.14,6,6,N/A,"",
153,"Nanoviricides",NNVC,2020-02-11,2020-02-28,17,Short,CLOSED,7.94,9.48,19,-19,62,"Covered @ profit days ago. Forgot to close it here. Closed @ 3:08PM",
154,"RUSSELL SHORT ETF",RWM,2020-02-14,2020-03-09,24,Long,CLOSED,36.35,46.20,27,27,27,"ORANGE (LEVEL 2) ALERT LIFTED @ 7:30PM",
155,"RUSSELL SHORT ETF",RWM,2020-02-14,2020-06-18,125,Long,CLOSED,36.35,36.68,1,1,63,"NOW AT YELLOW ALERT",
156,"Smith Micro #2",SMSI,2021-03-12,2024-09-17,1285,Long,CLOSED,6.67,0.96,-86,-86,N/A,"Open 12:15PM",
157,"Novavax",NVAX,2020-03-02,2020-03-04,2,Short,CLOSED,12.40,11.35,-8,8,13,"10:59AM / 10:50AM",
158,"IBIO",IBIO,2020-03-02,2020-03-04,2,Short,CLOSED,2.33,1.49,-36,36,N/A,"10:59AM / 10:50AM",
159,"IBIO",IBIO,2020-03-04,2020-03-17,13,Short,CLOSED,1.68,1.03,-39,39,N/A,"Moved up 10% quick! Re-established @ 12:26 / Out @ 10:18",
160,"IMV",IMV,2020-03-18,2020-03-18,0,Short,CLOSED,3.16,2.09,-34,34,N/A,"Open 8:47AM / Closed 1:51 PM",
161,"IMAC Holdings",IMAC,2020-03-26,2020-03-27,1,Short,CLOSED,2.17,1.90,-12,12,N/A,"Open 3:27PM / Close 10:25AM",
162,"DPW Holdings",DPW,2020-04-07,2020-04-27,20,Short,CLOSED,1.68,1.18,-30,30,N/A,"Open @ 3:38PM / Closed @ 1:40PM",
163,"Cal-Maine Foods",CALM,2020-04-13,2020-05-27,44,Long,CLOSED,39.96,45.00,13,13,14,"Open 11:27AM / Close 3:15PM",
164,"RUSSELL SHORT ETF",RWM,2020-04-13,2021-02-03,296,Bearish,CLOSED,45.13,23.16,-49,-49,4,"HEDGE - Open 11:27AM / Closed 3:30PM",
165,"SenesTech (Short)",SNES,2020-04-22,2020-04-30,8,Short,CLOSED,2.60,2.19,-16,16,N/A,"Open 2:05PM / Closed 6PM",
166,"SAExploration (Short)",SAEX,2020-04-22,2020-04-27,5,Short,CLOSED,2.29,1.93,-16,16,N/A,"Open 2:05PM / Closed 1:40PM",
167,"Alpha Pro Tech",APT,2020-05-11,2021-07-19,434,Long,CLOSED,12.68,9.85,-22,-22,101,"Open 2:38PM / Took profits (R/R) @20 ! / Closed 3:59PM",
168,"Summer Infant",SUMR,2020-06-26,2021-03-22,269,Long,CLOSED,6.96,19.00,173,173,N/A,"Open 11:20AM / Closed 11:00AM",
169,"GSX Techedu (Short)",GSX,2020-07-08,2021-03-26,261,Short,CLOSED,76.30,46.12,-40,40,95,"Open 11:34AM / Closed 1:40PM",
170,"WAITR Holdings *",WTRH,2020-07-10,2020-07-22,12,Long,CLOSED,3.40,5.00,47,47,N/A,"YouTube @ 12:30PM / Took profits (Risk/Reward) @ $5!",
171,"WAITR Holdings",WTRH,2020-07-10,2021-10-13,460,Long,CLOSED,3.40,1.22,-64,-64,N/A,"Remainder after taking profits (see above) / Closed @ 12""07",
172,"Aptevo Therapeutics",APVO,2020-11-05,2020-11-23,18,Short,CLOSED,23.85,43.66,83,-83,N/A,"Open 1:13PM / Closed 11:00AM",
173,"David's Tea",DTEA,2020-12-15,2021-02-05,52,Long,CLOSED,1.92,6.87,258,258,N/A,"Open 2:29PM / Closed 7:35AM",
174,"RUSSELL SHORT ETF",RWM,2021-01-05,2021-11-30,329,Long,CLOSED,25.40,21.63,-15,-15,2,"HEDGE - Open 12:50PM",
175,"Virtra *",VTSI,2021-01-07,2021-03-30,82,Long,CLOSED,3.65,9.00,147,147,179,"Open 10:00AM / Profits (R/R) @ 9 / Back in at 5 !!",
176,"Virtra",VTSI,2021-04-07,2021-10-11,187,Long,CLOSED,5.00,11.45,129,129,132,"$5 reentry (see entry above)... R/R @ 11.45",
177,"Virtra",VTSI,2021-11-24,2023-12-04,740,Long,CLOSED,6.70,8.34,24,24,31,"Stock Talk LIVE Friday. Taking some profits (bought more on 11/10/23).",
178,"Mogo Finance Company *",MOGO,2021-01-14,2021-02-09,26,Long,CLOSED,5.02,11.00,119,119,N/A,"Open 12:30PM / Took profits (Risk/Reward) @ 11!",
179,"Mogo Finance Company",MOGO,2021-01-14,2021-04-26,102,Long,CLOSED,5.02,7.83,56,56,N/A,"Remainder post-taking profits (above) / Closed via Yellow Alert",
180,"Gamestop",GME,2021-01-29,2021-02-04,6,Short,CLOSED,293.00,65.20,-78,78,-65,"Open 3:05PM / Closed 11:45AM",
181,"AMC Entertainment",AMC,2021-02-03,2021-02-09,6,Short,CLOSED,8.66,5.90,-32,32,398,"Open 3:30PM",
182,"Techprecision",TPCS,2021-02-04,2024-02-16,1107,Long,CLOSED,5.48,3.45,-37,-37,96,"Open 11:45AM",
183,"Gamestop April 300 call",GME,2021-02-25,2021-02-26,1,Short,CLOSED,47.00,15.00,-68,68,-2,"Open 11:35AM",
184,"David's Tea #2 (#1 was +258%!)",DTEA,2021-02-26,2021-06-16,110,Long,CLOSED,3.83,5.47,43,43,N/A,"Open 1:30PM / Closed 11AM",
185,"Iridex",IRIX,2021-03-03,2021-04-26,54,Long,CLOSED,6.91,9.36,35,35,35,"Open 10:45AM / Closed via Yellow Alert",
186,"Smith Micro #2",SMSI,2021-03-12,2024-09-17,1285,Long,CLOSED,6.67,0.96,-86,-86,N/A,"Open 12:15PM",
187,"Aehr Test Systems",AEHR,2021-07-19,2021-09-24,67,Long,CLOSED,3.23,13.50,318,318,419,"Email @ 12:35PM... R/R @ 12-15 (13.50)... back in @ 13",
188,"Aehr Test Systems",AEHR,2021-10-04,2021-12-27,84,Long,CLOSED,13.00,22.90,76,76,108,"See entry above.",
189,"GAIA",GAIA,2021-11-04,2023-05-26,568,Long,CLOSED,10.18,2.52,-75,-75,9,"Open 1:30PM / Closed on YouTube LIVE",
190,"Vidler Water Resources",VWTR,2021-12-08,2022-05-23,166,Long,CLOSED,12.15,15.74,30,30,N/A,"Open 1PM (YouTube LIVE) / Closed 3:30 (StockTwits)",
191,"Russell 2000 ETF",IWM,2022-02-03,2022-04-25,81,Short,CLOSED,198.78,189.70,-5,5,7,"HEDGE - Open 12:17PM",
192,"Short Basket",See Notes,2022-03-08,2022-03-16,8,Short,CLOSED,1.000,1.037,4,4,N/A,"From the March 8 LIVE",
193,"Consumer Discretionary",XLY,2022-03-16,2022-04-25,40,Short,CLOSED,174.06,174.21,0,0,N/A,"HEDGE - Open 12:20PM",
194,"Celsius",CELH,2022-06-24,2025-01-03,924,Long,CLOSED,21.66,28.83,33,33,360,"https://www.youtube.com/watch?v=9tSdrvRfpzY",
